,day_svi_id,year,month,day_svi_lat,day_svi_lon,day_svi_heading,night_svi_lat,night_svi_lon,lux,distance_err,total_area,total_luminosity,avg_luminosity,avg_distance,mid_distance,weighted_lum_std,weighted_dist_std,max_contour_size
2076,17726w4MWKDLbaTEUwz1yg,2019,8,1.289284089,103.7769931,1.811022778,1.2893015,103.7770001,45,1.88E-05,19690,2256543.509,114.6035302,174.145565,160.5895389,520.6530009,35.33768662,12783.5
2077,18mA-1IvmRg29BWSVI9YLA,2016,8,1.290461086,103.7825389,3.542947541,1.2904724,103.7825356,28,1.18E-05,13762,1811425.108,131.625135,235.8720325,260.7287863,720.2235013,46.81752416,9859
2078,181oUr-UyhnX2W-ewXCI9w,2016,8,1.289246338,103.7831367,2.539442077,1.2892578,103.783139,36,1.17E-05,16593,2339685.809,141.0043879,236.182215,251.3344385,700.6569117,41.16780085,12486
2079,1CpvTBAegzCBMu03AbfZsQ,2018,3,1.328177552,103.6483185,0.755893135,1.3281639,103.6483333,1,2.01E-05,11296,1073894.373,95.06855285,171.2780785,166.3685667,576.1589238,18.77548532,4365.5
2080,1GUcIhjtosUh5-aLtv6Jqw,2017,12,1.293509085,103.8521321,5.255901809,1.2935125,103.8521147,10,1.78E-05,62417,7983492.141,127.9057331,202.1188729,195.9693854,312.2232055,39.0196682,28919.5
2081,1HBIbgPSF5RhHZK6nsSGFg,2018,2,1.281316973,103.8419522,3.598554345,1.2813319,103.8419322,24,2.50E-05,49169,6005223.17,122.1343361,179.8801809,175.7868027,340.8905076,24.3499117,43703
2082,1Garvdc2BGiq1FTktlugNA,2011,9,1.335712651,103.643686,3.888831713,1.3356855,103.6436915,47,2.77E-05,20675,2183118.86,105.592206,181.4628508,172.5398505,468.3655056,30.79908533,9556.5
2083,1KrDtZwWcJKi2eFIOh2_Mg,2019,6,1.29751197,103.7671494,3.255873157,1.2975078,103.7671667,13,1.78E-05,21911,2766981.279,126.2827474,184.5295037,180.9447429,542.6296802,29.43926574,7301.5
2084,1K3cUmtIwV8EAWfstyRZCA,2020,9,1.291093249,103.7831019,0.6306713,1.2910825,103.7831036,48,1.09E-05,13102,1608419.683,122.7613863,217.9039751,250.9402319,688.2511372,54.54051338,5058
2085,1Mhpl6Pjjrqk49h9-Rkgig,2018,5,1.280980073,103.8477582,3.648230289,1.2810294,103.8477643,13,4.97E-05,44691,4782188.349,107.0056242,188.2845154,181.3973539,317.3456121,29.85180197,26468
2086,1MWDAgQW7L4vj6Ug8ebNyQ,2018,2,1.322687312,103.800862,1.662658473,1.3226805,103.8008634,4,6.95E-06,22782,2417642.487,106.1207307,186.5604057,178.0645949,447.5387092,32.3640074,8686
2087,1NjFHcBAisQbHNvwh4uOJw,2018,2,1.29834045,103.8568946,5.558736248,1.2983667,103.8569203,25,3.67E-05,41402,4668469.591,112.7595186,188.4486874,181.8089656,347.5851341,32.66875458,27282.5
2088,1Q6J66Q8Lad90tTGoXup1Q,2021,2,1.282219984,103.8452765,3.669834917,1.282217,103.8452818,34,6.05E-06,55746,7053647.516,126.5319039,202.373974,205.4069132,330.6023184,34.38548857,43088.5
2089,1SVs6HnLWNkqins4AYYWSw,2020,10,1.277725694,103.8463975,2.081028431,1.2777496,103.8464259,37,3.71E-05,39030,4360416.726,111.7196189,187.5919371,180.7373785,354.8708463,31.21015146,32059
2090,1V9GFdbKMXOYYUed286qmw,2018,2,1.297218357,103.7787742,5.038924488,1.2972138,103.7787771,5,5.42E-06,21147,2322792.753,109.8402966,178.0502823,170.0735135,482.2735752,26.34017663,5125
2091,1WabBANxwAD2pqKwMlBb6w,2020,10,1.301912662,103.858616,2.7204345,1.30193,103.8586203,50,1.79E-05,71528,9178199.406,128.3161756,199.7085909,187.8643127,289.5769548,40.60901739,69131.5
2092,1Xu14TbuklxqSHTCFR8Uvg,2019,6,1.288347653,103.7842827,0.176343991,1.2883313,103.7842854,22,1.66E-05,3144,366312.247,116.5115289,198.6276305,192.988335,1346.671836,43.00515327,1978.5
2093,1WKXGDwH3PZztuH7W9utKg,2021,8,1.285726514,103.7805093,5.568102053,1.2857715,103.7805444,24,5.71E-05,30440,3882825.781,127.5566945,209.4431314,221.8625664,461.7609674,46.36566883,15155.5
2094,1_2DFayf_1c0lRDAPONHsg,2016,8,1.286821049,103.7845769,1.907870495,1.2868249,103.7845748,1,4.40E-06,4648,499252.789,107.4123901,177.4832814,183.1338308,1020.097388,24.3764715,2081.5
2095,1_Ju0LBQNeYHN1OkZBH2nQ,2018,2,1.326721091,103.7933472,0.347700414,1.3267313,103.7933656,0,2.10E-05,17345,1982765.277,114.3133628,177.9942422,169.5435047,555.9668341,25.0713448,4471.5
2096,1aYkhxAUtmJ68siQ5_QBqA,2019,6,1.308014322,103.7704544,4.358251939,1.308041,103.7704508,20,2.69E-05,26667,3105936.763,116.4711727,193.0022899,183.1529416,452.6086362,37.3563036,9142
2097,1_TmE80fcI8dYd0dA1iypQ,2020,9,1.279697399,103.7863389,0.314434536,1.2796926,103.7863429,5,6.25E-06,26510,2802336.52,105.7086579,174.5268903,166.3069451,412.5100418,23.3881409,7793.5
2098,1dpHl3Cj3r0tNqpf8DXORQ,2016,9,1.29454227,103.7669509,3.031616884,1.2945453,103.7669638,11,1.33E-05,35960,3976679.873,110.5862034,184.1568731,174.4133022,366.4269983,31.26310716,16981.5
2099,1eqPfvyBrDw-DhW4W1TEJQ,2018,11,1.277676751,103.8436509,3.19585536,1.2776709,103.8436509,40,5.85E-06,50567,6190757.756,122.4268348,188.7126847,183.1747799,339.136717,29.17135032,27474
2100,1jvmWK9xskjqSAjUveJeLw,2022,10,1.299823142,103.8566739,5.530422052,1.2997992,103.8567038,41,3.83E-05,43979,5487716.181,124.7803766,199.0158067,188.2232717,371.4684125,42.55936661,17434
2101,1imwjFFbE1eH7jyIxhfc_Q,2011,10,1.342579683,103.6955677,5.606133059,1.3425864,103.6955716,2,7.79E-06,17805,1660978.434,93.2871909,184.7249578,170.8156901,447.7153028,31.60234708,8549
2102,1pZ62uBn1TPM2H7MZMWe-Q,2021,6,1.279286849,103.7861758,0.495511115,1.2792778,103.7861741,28,9.20E-06,29466,3518102.902,119.3953337,189.2060054,179.4129315,439.7340333,36.8790269,8217.5
2103,1mMIf7iriUTf-QNvwUy-0A,2019,6,1.304904245,103.77107,6.193902299,1.304904,103.7710675,6,2.52E-06,18907,2008263.821,106.218005,180.8017769,161.4001239,494.6130191,37.45592725,7937.5
